d1;d2;d3;d4;n
0.0580733;0.0498257;0.0499107;0.0515262;11761
0.0580103;0.0499534;0.0498685;0.0513951;11791
0.0578631;0.0498266;0.0498266;0.0512647;11821
0.057801;0.050038;0.0497004;0.0513037;11851
0.0576551;0.0499958;0.049575;0.0512583;11881
0.0575099;0.0499538;0.0494501;0.0513811;11911
0.0573654;0.0498283;0.0494096;0.051252;11941
0.0573052;0.0497034;0.0493693;0.0512071;11971
0.0572452;0.0497459;0.0492459;0.0511624;12001
0.0571856;0.0497049;0.0492062;0.0510348;12031
0.0571263;0.04983;0.0491667;0.0509079;12061
0.0571499;0.0497891;0.049541;0.050947;12091
0.0570085;0.0497484;0.0495009;0.0508209;12121
0.05695;0.0498724;0.0493787;0.0507777;12151
0.0570561;0.0498317;0.049257;0.0507348;12181
0.0569978;0.0498731;0.0492179;0.050692;12211
0.0568581;0.0497508;0.0492607;0.0505678;12241
0.0568006;0.0498737;0.0493032;0.0506071;12271
0.0567434;0.0497521;0.049183;0.0507276;12301
0.0566864;0.049631;0.0491444;0.0506853;12331
0.0566297;0.0497533;0.0491061;0.0506432;12361
0.0564926;0.0497135;0.0490679;0.0506012;12391
0.0565977;0.0496739;0.0491104;0.050479;12421
0.0567023;0.0496346;0.0491527;0.050518;12451
0.0567262;0.0495954;0.0492749;0.050637;12481
0.05683;0.0497162;0.0491567;0.0505155;12511
0.0567738;0.0496771;0.0490392;0.0505542;12541
0.0567974;0.0496381;0.0490812;0.0504335;12571
0.0569002;0.0495199;0.0492818;0.0503928;12601
0.0567651;0.0495606;0.0494023;0.0502731;12631
0.0567886;0.0494432;0.0493642;0.050233;12661
0.0566543;0.0494839;0.0493263;0.0502718;12691
0.0565993;0.0493672;0.0492886;0.0503105;12721
0.056623;0.0494079;0.049251;0.050349;12751
0.0567248;0.0492919;0.0493702;0.0503873;12781
0.0569042;0.0493326;0.0492545;0.0504254;12811
0.0568492;0.0493731;0.0491395;0.0503855;12841
0.0567167;0.049258;0.0491026;0.0503457;12871
0.0567398;0.0492985;0.0489885;0.0505387;12901
0.0566855;0.0492615;0.0489521;0.0505761;12931
0.0567086;0.0493789;0.0489931;0.0507677;12961
0.0565776;0.0492649;0.048957;0.0508044;12991
0.0566777;0.0491514;0.048921;0.0507642;13021
0.056624;0.0492683;0.0490384;0.0508007;13051
0.056647;0.0491553;0.0491553;0.0506842;13081
0.0565937;0.0490428;0.0490428;0.0507208;13111
0.0565406;0.0489308;0.0490069;0.0506811;13141
0.0565637;0.0489712;0.0489712;0.0505656;13171
0.0565109;0.0490872;0.0489357;0.050678;13201
0.0565339;0.0489759;0.0489003;0.0506387;13231
0.056406;0.0490159;0.0489405;0.0505241;13261
0.0563539;0.0489805;0.0489053;0.0504853;13291
0.0563021;0.0490954;0.0488702;0.0505217;13321
0.0564003;0.0489851;0.0489102;0.050558;13351
0.0563486;0.0490995;0.0488005;0.0506689;13381
0.0564462;0.0491388;0.0488405;0.0507046;13411
0.0563946;0.0492523;0.0488803;0.0505915;13441
0.056269;0.0492911;0.0488457;0.050553;13471
0.0562921;0.0494037;0.0487371;0.0505148;13501
0.0562412;0.049442;0.0486291;0.0504767;13531
0.0561168;0.0494064;0.048669;0.050365;13561
0.0562137;0.0493709;0.0485615;0.050401;13591
0.0560899;0.0494824;0.048528;0.05029;13621
0.0560399;0.0495202;0.0484946;0.0501795;13651
0.0560632;0.0494116;0.0486076;0.0502887;13681
0.0559405;0.0495223;0.0486471;0.0501787;13711
0.0561095;0.0494142;0.0485409;0.0500691;13741
0.0561325;0.0495244;0.0484351;0.0502505;13771
0.0561554;0.0495616;0.0484023;0.0502138;13801
0.0561781;0.0495987;0.0482973;0.0502494;13831
0.0561287;0.0496357;0.0482649;0.0502128;13861
0.0560075;0.0495285;0.0482327;0.0502484;13891
0.0560305;0.0494936;0.0483442;0.0502837;13921
0.0560533;0.0493871;0.0483119;0.0502473;13951
0.0560761;0.0494242;0.0482798;0.050211;13981
0.0560988;0.0493184;0.0483192;0.0501749;14011
0.0559789;0.049213;0.0483584;0.0502813;14041
0.0558596;0.0492502;0.0483263;0.0501741;14071
0.0559535;0.0491454;0.0484363;0.0501383;14101
0.0559055;0.0490411;0.0486873;0.0501734;14131
0.0558576;0.0490078;0.048796;0.0502083;14161
0.0557396;0.0491156;0.0489042;0.0503136;14191
0.0559032;0.0490823;0.0488011;0.0502074;14221
0.0557856;0.0491895;0.0488387;0.0501719;14251
0.0557384;0.0492262;0.0488061;0.0502066;14281
0.0556914;0.0493327;0.0487737;0.0501712;14311
0.0556447;0.0492295;0.0486716;0.050136;14341
0.0557372;0.0493355;0.0487092;0.0500313;14371
0.0556906;0.0493021;0.0488161;0.0499271;14401
0.0557134;0.0493382;0.0488532;0.0498233;14431
0.0555978;0.049305;0.048821;0.0498582;14461
0.0556207;0.049203;0.0487889;0.049824;14491
0.0557124;0.0491702;0.0488947;0.04979;14521
0.0558037;0.0490688;0.0489313;0.0498935;14551
0.0558261;0.0489678;0.0488993;0.0498594;14581
0.0558483;0.0488673;0.0488673;0.0498255;14611
0.0558022;0.0489038;0.0488355;0.0497234;14641
0.0558244;0.0490082;0.0488038;0.0496899;14671
0.0559146;0.0489763;0.0489082;0.0495885;14701
0.0558007;0.0488765;0.0488086;0.0496232;14731
0.0556873;0.0488449;0.0487772;0.0495901;14761
0.0555743;0.0487459;0.0486782;0.0495572;14791
0.0555293;0.0487821;0.0485797;0.0495918;14821
