d1;d2;d3;d4;n
0.0533821;0.0500847;0.0529365;0.0505303;11221
0.0533286;0.05004;0.0528842;0.0503955;11251
0.0532754;0.0499956;0.0527436;0.0502615;11281
0.0531341;0.0499514;0.0527805;0.0503934;11311
0.0530817;0.0499956;0.0526409;0.0503483;11341
0.0530296;0.0498637;0.0527658;0.0502155;11371
0.0529778;0.0499079;0.0528901;0.0500833;11401
0.0529263;0.0499519;0.0529263;0.0502143;11431
0.0530495;0.0499084;0.0527877;0.0501701;11461
0.052998;0.0499521;0.0527369;0.0500392;11491
0.0529468;0.0499957;0.0525996;0.0499957;11521
0.0528093;0.0501255;0.052463;0.0501255;11551
0.0527588;0.0502547;0.0523271;0.050082;11581
0.0527948;0.0502971;0.052278;0.0500388;11611
0.0526587;0.0502534;0.0521433;0.0503393;11641
0.0527804;0.0503813;0.0520949;0.0502956;11671
0.0527305;0.0502521;0.0521323;0.0501667;11701
0.0528514;0.0502088;0.0522547;0.0500384;11731
0.0528016;0.0500808;0.0522064;0.0500808;11761
0.0528369;0.050123;0.0522432;0.050123;11791
0.0527874;0.0499958;0.0522798;0.0500804;11821
0.0528225;0.0499536;0.0523163;0.050038;11851
0.0527733;0.0499116;0.0524367;0.0502483;11881
0.0528923;0.0498699;0.0524725;0.0501217;11911
0.0530106;0.0498283;0.0524244;0.050247;11941
0.0528778;0.0499541;0.0523766;0.0501211;11971
0.0528289;0.0498292;0.052579;0.0500792;12001
0.0527803;0.0498712;0.0526141;0.0502036;12031
0.0527319;0.04983;0.0525661;0.0502446;12061
0.0528492;0.0498718;0.0524357;0.0505335;12091
0.0530484;0.0497484;0.0523884;0.0504084;12121
0.0529998;0.0497901;0.0524237;0.0504485;12151
0.0528692;0.0496675;0.0523767;0.0504885;12181
0.0528212;0.0496274;0.0524118;0.0506101;12211
0.0526918;0.0495058;0.0524467;0.0508128;12241
0.052563;0.0494662;0.0523185;0.0510961;12271
0.0525974;0.0495082;0.0525974;0.0511341;12301
0.0525505;0.0494688;0.0525505;0.0510097;12331
